No,Tanggal,Waktu,Tipe,ID Sparepart,Nama Item,Qty,Harga (Rp),PIC,No Report,Mesin,Jenis Pembelian,Vendor,Keterangan
28,21/7/2026,11.01,OUT,,Bearing 6800ZZ (NTN),4,37879,,,,,,[PIC: Acal] Pergantian part pada mesin cellophane device tension meter
29,21/7/2026,09.14,IN,MTC-SP-346,Bearing HK1012,6,21000,,,,,,Cash · MM Bearing
30,21/7/2026,16.13,IN,MTC-SP-347,Bearing 60003,4,25000,,,,,,Cash · Sinar Kreasi Mandiri
31,21/7/2026,16.13,IN,MTC-SP-348,Bearing 608,4,18000,,,,,,Cash · Sinar Kreasi Mandiri
32,21/7/2026,12.09,IN,MTC-SP-348,Bearing 608,4,18000,,,,Cash,Sinar Kreasi Mandiri,
33,21/7/2026,12.09,IN,MTC-SP-347,Bearing 60003,4,25000,,,,Cash,Sinar Kreasi Mandiri,
34,20/7/2026,12.09,IN,MTC-SP-346,Bearing HK1012,6,21000,,,,Cash,MM Bearing,
35,17/7/2026,12.10,OUT,,Bearing 6800ZZ (NTN),4,37879,Acal,,,,,Pergantian part pada mesin cellophane device tension meter
36,16/7/2026,12.10,OUT,MTC-SP-071,Timing Belt HTD 1295 - 5M,1,1049394,Permana,,,,,Untuk pergantian part cellophane
37,14/7/2026,12.10,IN,MTC-SP-345,Dotted cutting knife 56.55×18.07×0.73,30,95200,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
38,14/7/2026,12.10,IN,MTC-SP-344,Cam Blister JBL-150,3,1875099,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
39,14/7/2026,12.10,IN,MTC-SP-343,Linear bearings with a diameter of 40x50,16,131409,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
40,14/7/2026,12.10,IN,MTC-SP-342,Heating plate forming upper and lower,1,3000159,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
41,14/7/2026,12.10,IN,MTC-SP-341,Dotted cutting knife 62.1x15x0.26,30,95200,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
42,14/7/2026,12.10,IN,MTC-SP-340,Cylinder pneumatic (Blister Pod X),4,350200,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
43,14/7/2026,12.10,IN,MTC-SP-339,"ABS Tray, Custom sizing (CT POD & BEAT)",3,1829200,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
44,14/7/2026,12.10,IN,MTC-SP-338,Mold Set,1,30600000,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
45,14/7/2026,12.10,IN,MTC-SP-337,Compact cylinder SJA (Mesin lanyard),3,965600,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
46,14/7/2026,12.10,IN,MTC-SP-336,Brushed magnetic pump (Filling),5,2006000,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
47,14/7/2026,12.10,IN,MTC-SP-335,"Roller perforated, forming, sealing JBL-150",3,1875100,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
48,14/7/2026,12.10,IN,MTC-SP-334,Blade cutting JBL-150,2,1500080,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
49,14/7/2026,12.10,IN,MTC-SP-332,Shaft sleeves JBL-150,16,56270,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
50,14/7/2026,12.10,IN,MTC-SP-333,Cam shaft cutting JBL-150,2,1687590,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
51,14/7/2026,12.10,IN,MTC-SP-331,Main shaft bearing blister JBL-150,6,850000,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
52,9/7/2026,12.10,IN,,Heating plate upper sealing JBL 150,1,1125060,,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
53,2/7/2026,12.10,LOG,,Skun Y 1.25,3,60000,,,,Cash,Sinar Electric,[⚡ Insidentil / Sekali Pakai] Untuk kebutuhan wiring
54,1/7/2026,12.10,LOG,,"SOK Rucika AW 3/4""",1,5000,,,,Cash,Abun,[🚨 Emergency / Urgent] Untuk WTP Gedung G1
55,1/7/2026,12.10,LOG,,"KDD Rucika AW PVC 3/4""",1,8000,,,,Cash,Abun,[🚨 Emergency / Urgent] Untuk WTP Gedung G1
56,1/7/2026,12.10,LOG,,SPI 7X8X300,4,152000,,,,Cash,MM Teknik,[🚨 Emergency / Urgent] Untuk Pemasangan SPI Mesin Blister Pod X
57,1/7/2026,12.10,LOG,,Per Tekan Baja T 3 Id 23 P 100,2,70000,,,,Cash,Technical Outlet,[⚡ Insidentil / Sekali Pakai] Untuk Modif Mesin Capping
58,1/7/2026,12.10,LOG,,Per Tekan Baja T 3.5 Id 23 P 100,2,80000,,,,Cash,Technical Outlet,[⚡ Insidentil / Sekali Pakai] Untuk Modif Mesin Capping
59,1/7/2026,12.10,LOG,,Per Tekan Baja T 2.5 Id 23 P 100,2,60000,,,,Cash,Technical Outlet,[⚡ Insidentil / Sekali Pakai] Untuk Modif Mesin Capping
60,26/6/2026,12.10,LOG,,Mata Bor Nachi 6.5mm,1,47000,,,,,Sinar Kreasi Mandiri,[🚨 Emergency / Urgent] Pemakaian harian
61,26/6/2026,12.10,LOG,,Mata Bor Nachi 5.5mm,1,35750,,,,,Sinar Kreasi Mandiri,[🚨 Emergency / Urgent] Pemakaian harian
62,26/6/2026,12.10,LOG,,Mata Bor Nachi 5mm,1,27250,,,,,Sinar Kreasi Mandiri,[🚨 Emergency / Urgent] Pemakaian harian
63,26/6/2026,12.10,IN,MTC-SP-248,Bearing 6205 Rs SKF,20,86450,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR03646 / PO: P13881]
64,26/6/2026,12.10,IN,MTC-SP-004,Cable Tie 3.6x300,5,15200,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04111 / PO: P13734]
65,26/6/2026,12.10,LOG,,baut mur baja 12.9 M-8x50mm Full drat,50,18770,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Sparepart untuk mesin blister pod X
66,26/6/2026,12.10,IN,,Stopkontak isi 2,10,43124,,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan PR: PR04196 / PO: P13888]
67,26/6/2026,12.10,IN,,Stopkontak isi 3,10,61114,,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan PR: PR04196 / PO: P13888]
68,26/6/2026,12.10,IN,,Stopkontak isi 5,5,40375,,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan PR: PR04196 / PO: P13888]
69,26/6/2026,12.10,IN,,Oil 10 Liter CR-46,2,1320000,,,,PO,PT SHARPRINDO DINAMIKA UTAMA,[Penerimaan Pengadaan PR: PR04297 / PO: P13902]
70,26/6/2026,12.10,IN,,Oil Separator MCA 15011,2,572800,,,,PO,PT SHARPRINDO DINAMIKA UTAMA,[Penerimaan Pengadaan PR: PR04297 / PO: P13902]
71,26/6/2026,12.10,IN,,Oil Filter MCA15008,2,375200,,,,PO,PT SHARPRINDO DINAMIKA UTAMA,[Penerimaan Pengadaan PR: PR04297 / PO: P13902]
72,26/6/2026,12.10,LOG,,Kabel Duck NISO CURVE 20 x 70,100,41000,,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Kebutuhan produksi (Repeat Order)
73,26/6/2026,12.10,LOG,,Gembok Popeye 30 Panjang,1,25000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Gembok Kompresor F2
74,26/6/2026,12.10,LOG,,"Cutting Wheel WD 4""",1,80000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Consumable part
75,26/6/2026,12.10,LOG,,Pylox Nippon Paint No 200,2,38000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Pewarnaan Kursi F2
76,26/6/2026,12.10,LOG,,Roofing 12 x 30,3,52000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Untuk kebutuhan pintu D2
77,25/6/2026,12.10,LOG,,"Kuas Rolset 1 1/2""",1,12000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Pengecatan Pintu F2 Belakang
78,25/6/2026,12.10,LOG,,Cat Ftalit 115-610 Stone Grey,1,100000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Pengecatan Pintu F2 Belakang
79,25/6/2026,12.10,LOG,,"Water Mur Galv 3/4""",4,160000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Instalasi Kompresor F2
80,25/6/2026,12.10,LOG,,"V Sock Galv 3/4"" X 1/2""",1,16000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Instalasi Kompresor F2
81,25/6/2026,12.10,LOG,,Mata Gergaji Beis Tekiro 24 TPI,1,20000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Pemakaian Harian
82,25/6/2026,12.10,LOG,,Fitting Lampu Gatung Broco / Itami Hitam,1,8000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Lampu F2
83,25/6/2026,12.10,LOG,,Van Belt A27,4,100000,,,,,Egi Teknik,[🔄 Rutin / Terus Menerus] Untuk mesin capping 15Ml
84,24/6/2026,12.10,LOG,,Klem Pipa PVC 1/2,1,10000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
85,24/6/2026,12.10,LOG,,"Pipa Rucika STD 1/2"" AW",1,28000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
86,24/6/2026,12.10,LOG,,"Tee Rucika AW 1/2""",1,6000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
87,24/6/2026,12.10,LOG,,"Pipa Rucika STD 3/4"" AW",1,38000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
88,24/6/2026,12.10,LOG,,Steker Ac Broco set,1,90000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8
89,24/6/2026,12.10,LOG,,"Cutting Wheel WD 4""",10,50000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Consumable part
90,24/6/2026,12.10,LOG,,Dinabolt 12X129,5,30000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Perbaikan pintu D2
91,24/6/2026,12.10,LOG,,"TEE Galv 1""",1,32000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
92,24/6/2026,12.10,LOG,,"Sealtape Onda 1/2""",6,36000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
93,24/6/2026,12.10,LOG,,"Sok 1""",6,75000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
94,24/6/2026,12.10,LOG,,"Sock 3/4""",7400,59200,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
95,24/6/2026,12.10,LOG,,Klem Kabel Climax No.17,1,25000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
96,24/6/2026,12.10,LOG,,Kabel Supreme NYA 4mm,15,224280,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
97,24/6/2026,12.10,LOG,,Valve 3/8 SUS 316,1,40000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Perbaikan Mesin Filling 15Ml
98,24/6/2026,12.10,LOG,,Skun SC 3.5 - 5,1,40000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
99,24/6/2026,12.10,LOG,,Vinyl Sc 8.5 - 10,1,5000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
100,24/6/2026,12.10,LOG,,Sok 10 mm,10,30000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
101,24/6/2026,12.10,LOG,,Svbakar 6mm,1,3000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
102,24/6/2026,12.10,LOG,,"TEE Rucika AW 3/4""",2,16000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
103,24/6/2026,12.10,LOG,,SPC 10 - 03,2,20000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Perbaikan Mesin Filling 15Ml
104,24/6/2026,12.10,LOG,,"Pipa Rucika ST 3/4""",3,114000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
105,24/6/2026,12.10,LOG,,"Klem Pipa PVC 3/4""",1,13000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
106,21/6/2026,12.10,LOG,,"Nepel Selang Kuningan 1"" X 1""",2,70000,,,,,TB 68 Jaya,[⚡ Insidentil / Sekali Pakai] Untuk Pompa Pembuangan Mixing
107,21/6/2026,12.10,LOG,,Saklar Serigai,1,25000,,,,,TB 68 Jaya,[⚡ Insidentil / Sekali Pakai] Untuk Lampu D2 atas
108,21/6/2026,12.10,LOG,,Kabel Eterna 2 x 1.5,4,64000,,,,,TB 68 Jaya,[⚡ Insidentil / Sekali Pakai] Untuk Lampu D2 atas
109,21/6/2026,12.10,LOG,,"Selang Benang Cristal 1""",8,238000,,,,,TB 68 Jaya,[⚡ Insidentil / Sekali Pakai] Untuk Pompa Pembuangan Mixing
110,17/6/2026,12.10,IN,MTC-SP-194,Sliding Bearing LM12LUU (Capping),10,76000,,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan PR: PR04128 / PO: P13853]
111,17/6/2026,12.10,LOG,,Baut L Tanam M8x12,100,1140,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Sparepart mesin blister pod x
112,15/6/2026,12.10,IN,,Selang PU 12 x 8 mm,1,709650,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04111 / PO: P13734]
113,15/6/2026,12.10,IN,,Cartridge Heater 220V - M10 X 100 400W,5,200450,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04017 / PO: P13720]
114,15/6/2026,12.10,LOG,,CAIRAN PEMBERSIH OLI MINYAK GEMUK WATERBASE OIL GREASE CLEANER 5 LITER,5,91200,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Consumable untuk cleaner oli dan grease
115,14/6/2026,12.10,LOG,,Kabel (3 x 2.5),1,1375000,,,,PO,PT TRIPUTRA MITRA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Consumable part
116,13/6/2026,12.10,IN,,MCB C25,10,105735,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04106 / PO: P13726]
117,13/6/2026,12.10,IN,,MCB C16,10,105735,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04106 / PO: P13726]
118,13/6/2026,12.10,IN,,MCB C32,10,105735,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04106 / PO: P13726]
119,13/6/2026,12.10,IN,,Duct Cable TC 6,100,9288,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04017 / PO: P13720]
120,13/6/2026,12.10,IN,,Duct Cable 50 x 100,55,75000,,,,PO,PT TRIPUTRA MITRA,[Penerimaan Pengadaan PR: PR04104 / PO: P13732]
121,13/6/2026,12.10,IN,,Ball Bearing SKF 61901 - 2RS1 (Authenticity),10,88261.65,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04017 / PO: P13720]
122,13/6/2026,12.10,LOG,,Keni PVC Polos 20mm,2,6000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Listrik Pos D2
123,13/6/2026,12.10,LOG,,Klem Conduit 20mm,10,20000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Listrik Pos D2
124,13/6/2026,12.10,LOG,,"RYU Multi cutter 4"" X 40T",1,37500,,,,Cash,Mitra 10 Bitung,[⚡ Insidentil / Sekali Pakai] Untuk keperluan pemotongan aluminium
125,12/6/2026,12.10,IN,MTC-SP-006,Cable Tie 2.5x100,5,4709,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04111 / PO: P13734]
126,12/6/2026,12.10,IN,MTC-SP-005,Cable Tie 2.5x150,5,5837,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04111 / PO: P13734]
127,12/6/2026,12.10,IN,,Disc Spring Washer M20 x T2.5,32,50730,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04017 / PO: P13720]
128,10/6/2026,12.10,LOG,,WD-40 Specialist® Belt Dressing 360ml – Perawatan Belt (Anti-Slip),1,134500,,,,Cash,WD-40 Brand Indonesia,[🔄 Rutin / Terus Menerus] Untuk pelumas belt semua lini produksi
129,10/6/2026,12.10,LOG,,Skun Y 2.4,3,120000,,,,Cash,Dunia Electric,[🔄 Rutin / Terus Menerus] Up size kapasitas listrik D2
130,10/6/2026,12.10,LOG,,Kabel ties 30Cm,1,35000,,,,Cash,Dunia Electric,[🔄 Rutin / Terus Menerus] Up size kapasitas listrik D2
131,10/6/2026,12.10,LOG,,Paku Beton Hitam / Putih 5 Cm,4,24000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Up size kapasitas listrik D2
132,10/6/2026,12.10,LOG,,"Klem Pipa PVC 1 1/4""",20,70000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Up size kapasitas listrik D2
133,10/6/2026,12.10,LOG,,Kawat Las Nikko RD-260 ukuran @ 2.6 x 350 mm (5kg),1,210425,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Consumable part (Repeat Order)
134,10/6/2026,12.10,IN,,As Capping CAM,200,3260,,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04110 / PO: P13722]
135,9/6/2026,12.10,LOG,,As VCN DIa 20 X 1000,1,215000,,,,,Jaya Baja Sentosa,[🚀 Project / Investasi] Untuk Mesin capping Cam liquid
136,9/6/2026,12.10,LOG,,Aluminium T.10 X 290 X 180,1,320000,,,,,Abun,[🚀 Project / Investasi] Untuk modif mesin capping 4 roda menjadi capping cam
137,9/6/2026,12.10,LOG,,Pylox Nippon Paint No. 104,1,38000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Kebutuhan pengecetan meja untuk WO
138,9/6/2026,12.10,LOG,,Pylox Nippon Paint No.200,2,76000,,,,,Abun,[⚡ Insidentil / Sekali Pakai] Kebutuhan pengecetan meja untuk WO
139,9/6/2026,12.10,LOG,,"Selot PVC 2""",3,24000,,,,,Abun,"[⚡ Insidentil / Sekali Pakai] Kebutuhan pengecetan meja untuk WO, Pengecetan casing puff test kecil, dan penggantian slot kamar mandi"
140,8/6/2026,12.10,LOG,,King Naple Hose Nipple SS304 1/8 inch / Nepel Selang Stainless Steel,10,184000,,,,,Jaya Suksestama,[🚀 Project / Investasi] Untuk mesin filling manual pompa 15ML
141,8/6/2026,12.10,LOG,,Roofing 12X30,1,30000,,,,Cash,Abun,[🚨 Emergency / Urgent] Kebutuhan untuk pemasangan plat pada pintu G2 bawah
142,8/6/2026,12.10,LOG,,"Napple Drat 8 - 1/8""",4,40000,,,,Cash,Angga Jaya Tehnik,[🚀 Project / Investasi] Kebutuhan Napple selang drat
143,8/6/2026,12.10,IN,MTC-SP-101,Pisau Porforasi,10,150000,,,,PO,PT LIMA ANUGERAH ABADI,[Penerimaan Pengadaan PR: PR03240 / PO: P11958]
144,7/6/2026,12.10,LOG,,Roofing 12X20,3,84000,,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan akrilik pada pos jaga
145,7/6/2026,12.10,LOG,,Meteran WOOD 5 Meter,1,75000,,,,Cash,Abun,[🚀 Project / Investasi] Untuk Kanopi Outdoor AC G1
146,7/6/2026,12.10,LOG,,CNP Baja Ringan Orange,1,90000,,,,Cash,Abun,[🚀 Project / Investasi] Untuk Kanopi Outdoor AC G1
147,7/6/2026,12.10,LOG,,Seng Plat Galvanlum T.120 X 0.33MM,3,240000,,,,Cash,Abun,[🚀 Project / Investasi] Pelindung Kompressor di Gedung F2
148,7/6/2026,12.10,LOG,,Thinner Alaska Galon,1,120000,,,,Cash,Abun,[🚀 Project / Investasi] Pengecetan pos jaga
149,7/6/2026,12.10,LOG,,Cat Ftalit 115 - 582 Black,1,100000,,,,Cash,Abun,[🚀 Project / Investasi] Pengecetan pos jaga
150,6/6/2026,12.10,LOG,,"Seal Tape Onda 1/2""",2,12000,,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
151,6/6/2026,12.10,LOG,,"Water Mur PVC 3/4"" Zuki",3,75000,,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
152,6/6/2026,12.10,LOG,,"SDL Rucika AW 3/4"" X 1/2""",3,21000,,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
153,6/6/2026,12.10,LOG,,"Keni Rucika AW 1/2""",6,24000,,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
154,6/6/2026,12.10,LOG,,"Keni Rucika AW 3/4""",6,30000,,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
155,6/6/2026,12.10,LOG,,Coil Spring Merah OD 12X35,2,66882,,,,Cash,Utama Askesoris Mold (Tokopedia),[🚨 Emergency / Urgent] Kebutuhan mesin cellophane line cartridge
156,5/6/2026,12.10,LOG,,Sarung Tangan 8 Benang,1,44999,,,,Cash,Abun,[🚨 Emergency / Urgent] Untuk Safety
157,5/6/2026,12.10,LOG,,Saklar AC Broco Tanam G155,1,45000,,,,Cash,Abun,[🚨 Emergency / Urgent] Perbaikan AC FG G1
158,5/6/2026,12.10,LOG,,Steker Ac Broco,1,35000,,,,Cash,Abun,[🚨 Emergency / Urgent] Perbaikan AC FG G1
159,5/6/2026,12.10,LOG,,Solasi Kabel Nitto 30M,5,65000,,,,Cash,Abun,[🚨 Emergency / Urgent] Perbaikan AC FG G1
160,3/6/2026,12.10,LOG,,Alkohol Isopropyl 99% 1 Liter,5,182900,,,,Cash,Nusa Kimia Indonesia (Tokopedia),[🚨 Emergency / Urgent] Kebutuhan Produksi
161,3/6/2026,12.10,LOG,,Reng Baja Ringan 28 Pink (0.4),2,76000,,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk kebutuhan kanopi ac outdoor produksi
