No,Tanggal,Waktu,Tipe,ID Sparepart,Nama Item,Qty,Harga (Rp),PIC,No Report,Jenis Pembelian,Vendor,Keterangan
83,21/6/2026,11.02,LOG,,"Nepel Selang Kuningan 1"" X 1""",2,70000,,,,TB 68 Jaya,[⚡ Insidentil / Sekali Pakai] Untuk Pompa Pembuangan Mixing
84,17/6/2026,11.07,IN,MTC-SP-194,Sliding Bearing LM12LUU (Capping),10,76000,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan PR: PR04128 / PO: P13853]
85,17/6/2026,11.07,LOG,,Baut L Tanam M8x12,100,1140,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Sparepart mesin blister pod x
86,15/6/2026,14.00,IN,MTC-SP-309,Cartridge Heater 220V - M10 X 100 400W,5,200450,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04017 / PO: P13720]
87,15/6/2026,14.00,LOG,,CAIRAN PEMBERSIH OLI MINYAK GEMUK WATERBASE OIL GREASE CLEANER 5 LITER,5,91200,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Consumable untuk cleaner oli dan grease
88,15/6/2026,14.01,IN,MTC-SP-316,Selang PU 12 x 8 mm,1,709650,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04111 / PO: P13734]
89,14/6/2026,12.42,LOG,,Kabel (3 x 2.5),1,1375000,,,PO,PT TRIPUTRA MITRA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Consumable part
90,13/6/2026,14.02,IN,MTC-SP-314,MCB C25,10,105735,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04106 / PO: P13726]
91,13/6/2026,14.02,IN,MTC-SP-315,MCB C16,10,105735,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04106 / PO: P13726]
92,13/6/2026,13.00,LOG,,Klem Conduit 20mm,10,20000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Listrik Pos D2
93,13/6/2026,10.17,LOG,,"RYU Multi cutter 4"" X 40T",1,37500,,,Cash,Mitra 10 Bitung,[⚡ Insidentil / Sekali Pakai] Untuk keperluan pemotongan aluminium
94,13/6/2026,13.00,LOG,,Keni PVC Polos 20mm,2,6000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Listrik Pos D2
95,13/6/2026,13.00,IN,MTC-SP-310,Ball Bearing SKF 61901 - 2RS1 (Authenticity),10,88261.65,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04017 / PO: P13720]
96,13/6/2026,13.17,IN,MTC-SP-311,Duct Cable 50 x 100,55,75000,,,PO,PT TRIPUTRA MITRA,[Penerimaan Pengadaan PR: PR04104 / PO: P13732]
97,13/6/2026,13.17,IN,MTC-SP-312,Duct Cable TC 6,100,9288,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04017 / PO: P13720]
98,13/6/2026,14.02,IN,MTC-SP-313,MCB C32,10,105735,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04106 / PO: P13726]
99,12/6/2026,11.35,IN,MTC-SP-308,Disc Spring Washer M20 x T2.5,32,50730,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04017 / PO: P13720]
100,12/6/2026,11.38,IN,MTC-SP-006,Cable Tie 2.5x100,5,4709,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04111 / PO: P13734]
101,12/6/2026,11.38,IN,MTC-SP-005,Cable Tie 2.5x150,5,5837,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04111 / PO: P13734]
102,10/6/2026,20.50,LOG,,Skun Y 2.4,3,120000,,,Cash,Dunia Electric,[🔄 Rutin / Terus Menerus] Up size kapasitas listrik D2
103,10/6/2026,11.30,LOG,,Kawat Las Nikko RD-260 ukuran @ 2.6 x 350 mm (5kg),1,210425,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Consumable part (Repeat Order)
104,10/6/2026,20.43,LOG,,Paku Beton Hitam / Putih 5 Cm,4,24000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Up size kapasitas listrik D2
105,10/6/2026,20.43,LOG,,"Klem Pipa PVC 1 1/4""",20,70000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Up size kapasitas listrik D2
106,10/6/2026,11.26,IN,MTC-SP-307,As Capping CAM,200,3260,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04110 / PO: P13722]
107,10/6/2026,20.52,LOG,,WD-40 Specialist® Belt Dressing 360ml – Perawatan Belt (Anti-Slip),1,134500,,,Cash,WD-40 Brand Indonesia,[🔄 Rutin / Terus Menerus] Untuk pelumas belt semua lini produksi
108,10/6/2026,20.50,LOG,,Kabel ties 30Cm,1,35000,,,Cash,Dunia Electric,[🔄 Rutin / Terus Menerus] Up size kapasitas listrik D2
109,9/6/2026,17.45,LOG,,Aluminium T.10 X 290 X 180,1,320000,,,,Abun,[🚀 Project / Investasi] Untuk modif mesin capping 4 roda menjadi capping cam
110,9/6/2026,17.46,LOG,,As VCN DIa 20 X 1000,1,215000,,,,Jaya Baja Sentosa,[🚀 Project / Investasi] Untuk Mesin capping Cam liquid
111,9/6/2026,17.40,LOG,,Pylox Nippon Paint No.200,2,76000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Kebutuhan pengecetan meja untuk WO
112,9/6/2026,17.40,LOG,,Pylox Nippon Paint No. 104,1,38000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Kebutuhan pengecetan meja untuk WO
113,9/6/2026,17.40,LOG,,"Selot PVC 2""",3,24000,,,,Abun,"[⚡ Insidentil / Sekali Pakai] Kebutuhan pengecetan meja untuk WO, Pengecetan casing puff test kecil, dan penggantian slot kamar mandi"
114,8/6/2026,17.50,LOG,,Roofing 12X30,1,30000,,,Cash,Abun,[🚨 Emergency / Urgent] Kebutuhan untuk pemasangan plat pada pintu G2 bawah
115,8/6/2026,17.46,LOG,,"Napple Drat 8 - 1/8""",4,40000,,,Cash,Angga Jaya Tehnik,[🚀 Project / Investasi] Kebutuhan Napple selang drat
116,8/6/2026,10.54,IN,MTC-SP-101,Pisau Porforasi,10,150000,,,PO,PT LIMA ANUGERAH ABADI,[Penerimaan Pengadaan PR: PR03240 / PO: P11958]
117,8/6/2026,19.39,LOG,,King Naple Hose Nipple SS304 1/8 inch / Nepel Selang Stainless Steel,10,184000,,,,Jaya Suksestama,[🚀 Project / Investasi] Untuk mesin filling manual pompa 15ML
118,7/6/2026,17.56,LOG,,Meteran WOOD 5 Meter,1,75000,,,Cash,Abun,[🚀 Project / Investasi] Untuk Kanopi Outdoor AC G1
119,7/6/2026,17.52,LOG,,Seng Plat Galvanlum T.120 X 0.33MM,3,240000,,,Cash,Abun,[🚀 Project / Investasi] Pelindung Kompressor di Gedung F2
120,7/6/2026,17.51,LOG,,Thinner Alaska Galon,1,120000,,,Cash,Abun,[🚀 Project / Investasi] Pengecetan pos jaga
121,7/6/2026,17.51,LOG,,Cat Ftalit 115 - 582 Black,1,100000,,,Cash,Abun,[🚀 Project / Investasi] Pengecetan pos jaga
122,7/6/2026,17.56,LOG,,CNP Baja Ringan Orange,1,90000,,,Cash,Abun,[🚀 Project / Investasi] Untuk Kanopi Outdoor AC G1
123,7/6/2026,17.56,LOG,,Roofing 12X20,3,84000,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan akrilik pada pos jaga
124,6/6/2026,17.43,LOG,,Coil Spring Merah OD 12X35,2,66882,,,Cash,Utama Askesoris Mold (Tokopedia),[🚨 Emergency / Urgent] Kebutuhan mesin cellophane line cartridge
125,6/6/2026,18.12,LOG,,"Keni Rucika AW 1/2""",6,24000,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
126,6/6/2026,18.12,LOG,,"Keni Rucika AW 3/4""",6,30000,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
127,6/6/2026,18.12,LOG,,"Water Mur PVC 3/4"" Zuki",3,75000,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
128,6/6/2026,18.12,LOG,,"SDL Rucika AW 3/4"" X 1/2""",3,21000,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
129,6/6/2026,18.12,LOG,,"Seal Tape Onda 1/2""",2,12000,,,Cash,Abun,[🚀 Project / Investasi] Pemasangan filter pada gedung G1
130,5/6/2026,18.00,LOG,,Sarung Tangan 8 Benang,1,44999,,,Cash,Abun,[🚨 Emergency / Urgent] Untuk Safety
131,5/6/2026,17.57,LOG,,Steker Ac Broco,1,35000,,,Cash,Abun,[🚨 Emergency / Urgent] Perbaikan AC FG G1
132,5/6/2026,17.57,LOG,,Saklar AC Broco Tanam G155,1,45000,,,Cash,Abun,[🚨 Emergency / Urgent] Perbaikan AC FG G1
133,5/6/2026,17.57,LOG,,Solasi Kabel Nitto 30M,5,65000,,,Cash,Abun,[🚨 Emergency / Urgent] Perbaikan AC FG G1
134,3/6/2026,16.04,LOG,,Reng Baja Ringan 28 Pink (0.4),2,76000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk kebutuhan kanopi ac outdoor produksi
135,3/6/2026,11.36,LOG,,As capping Dia 20 X 190 SS304,2,360000,,,,,[🚨 Emergency / Urgent] Untuk penggantian As mesin capping cam
136,3/6/2026,17.37,LOG,,Alkohol Isopropyl 99% 1 Liter,5,182900,,,Cash,Nusa Kimia Indonesia (Tokopedia),[🚨 Emergency / Urgent] Kebutuhan Produksi
137,2/6/2026,11.38,LOG,,Stop Kontak Atlantic Broco,2,1000000,,,Cash,Sinar Electric,[⚡ Insidentil / Sekali Pakai] Pemasangan CCTV gedung D2 (dalam ruangan QC dan depan ruangan RnD)
138,2/6/2026,13.00,LOG,,Stop Kontak isi 1,5,102665,,,Cash,Pojok Jaya Elektrik,[⚡ Insidentil / Sekali Pakai] Untuk kebutuhan pemasangan CCTV di F2 
139,1/6/2026,11.39,LOG,,Kawat Las RD 2.6 @5Kg,1,175000,,,Cash,Abun,[🚨 Emergency / Urgent] Untuk pengelasan dan kebutuhan consumable
140,29/5/2026,15.22,IN,MTC-SP-188,Three Way T Dus,12,0,,,,,Stock report sync (sync 0 → 12)
141,29/5/2026,15.22,IN,MTC-SP-190,Mounting,37,0,,,,,Stock report sync (sync 0 → 37)
142,29/5/2026,15.22,IN,MTC-SP-194,Sliding Bearing LM12LUU (Capping),2,0,,,,,Stock report sync (sync 0 → 2)
143,29/5/2026,15.22,IN,MTC-SP-202,Kabel Sensor Sick,5,0,,,,,Stock report sync (sync 0 → 5)
144,29/5/2026,15.22,IN,MTC-SP-203,Fiber Optic Omron,7,0,,,,,Stock report sync (sync 0 → 7)
145,29/5/2026,15.22,IN,MTC-SP-212,Sensor Omron EE-SX670-WR (Capping),2,0,,,,,Stock report sync (sync 0 → 2)
146,29/5/2026,15.22,IN,MTC-SP-229,Bolt L M6 x 65,99,0,,,,,Stock report sync (sync 0 → 99)
147,29/5/2026,15.22,IN,MTC-SP-230,Overload LRD 06,2,0,,,,,Stock report sync (sync 0 → 2)
148,29/5/2026,15.22,IN,MTC-SP-231,Overload LRD 07,2,0,,,,,Stock report sync (sync 0 → 2)
149,29/5/2026,15.22,IN,MTC-SP-233,Bolt L M5 X 60,100,0,,,,,Stock report sync (sync 0 → 100)
150,29/5/2026,15.22,IN,MTC-SP-234,Bolt Hex M5 x 60,100,0,,,,,Stock report sync (sync 0 → 100)
151,29/5/2026,15.22,IN,MTC-SP-235,Bolt L M4 X 50,94,0,,,,,Stock report sync (sync 0 → 94)
152,29/5/2026,15.22,IN,MTC-SP-236,Bolt Hex M4 X 50,100,0,,,,,Stock report sync (sync 0 → 100)
153,29/5/2026,15.22,IN,MTC-SP-237,Bolt Hex M6 X 60,99,0,,,,,Stock report sync (sync 0 → 99)
154,29/5/2026,15.22,IN,MTC-SP-238,Bolt L M8 X 60,99,0,,,,,Stock report sync (sync 0 → 99)
155,29/5/2026,15.22,IN,MTC-SP-239,Bolt Hex M8 X 60,100,0,,,,,Stock report sync (sync 0 → 100)
156,29/5/2026,15.22,IN,MTC-SP-241,Roda 2 inchi PU,12,0,,,,,Stock report sync (sync 0 → 12)
157,29/5/2026,15.22,IN,MTC-SP-246,Pisau Carton Sealer (FXJ 5050A),6,0,,,,,Stock report sync (sync 0 → 6)
158,29/5/2026,15.22,IN,MTC-SP-247,Bearing 6205 ZZ NTN,2,0,,,,,Stock report sync (sync 0 → 2)
159,29/5/2026,15.22,IN,MTC-SP-248,Bearing 6205 Rs SKF,25,0,,,,,Stock report sync (sync 0 → 25)
160,29/5/2026,15.22,IN,MTC-SP-250,Bolt L Verseng M4 x 25,48,0,,,,,Stock report sync (sync 0 → 48)
161,29/5/2026,15.22,IN,MTC-SP-251,Bolt L Verseng M5 x 25,44,0,,,,,Stock report sync (sync 0 → 44)
162,29/5/2026,15.22,IN,MTC-SP-252,Bolt L Verseng M6 x 25,50,0,,,,,Stock report sync (sync 0 → 50)
163,29/5/2026,15.22,IN,MTC-SP-255,Dioda Bridge MIC KBPC 25A 1K V,1,0,,,,,Stock report sync (sync 0 → 1)
164,29/5/2026,15.22,IN,MTC-SP-258,Cylinder STNC CXSM 20X30 (Piston Cap 2),3,0,,,,,Stock report sync (sync 0 → 3)
165,29/5/2026,15.22,IN,MTC-SP-259,Bearing 6204 2RS ASB,12,0,,,,,Stock report sync (sync 0 → 12)
166,29/5/2026,15.22,IN,MTC-SP-260,Linear Bearing LM20UU,4,0,,,,,Stock report sync (sync 0 → 4)
167,29/5/2026,15.22,IN,MTC-SP-261,Glass Valve,20,0,,,,,Stock report sync (sync 0 → 20)
168,29/5/2026,15.22,IN,MTC-SP-263,Compact Cylinder Pneumatic (Capping Line 1),3,0,,,,,Stock report sync (sync 0 → 3)
